Currency,Units per HKD,HKD per unit,Date
MXN,2.600713691,0.384509838,2022-02-17
PHP,6.578960796,0.15199969,2022-02-17
PLN,0.510590861,1.958515274,2022-02-17
PEN,0.480190173,2.082508258,2022-02-17
USD,0.128197542,7.800461559,2022-02-18
EUR,0.113173294,8.836006878,2022-02-18
GBP,0.09437694,10.59580868,2022-02-18
INR,9.571889047,0.104472586,2022-02-18
AUD,0.178715853,5.595474517,2022-02-18
CAD,0.163447642,6.118167179,2022-02-18
SGD,0.172541786,5.795697503,2022-02-18
CHF,0.118073427,8.46930613,2022-02-18
MXN,2.602771229,0.384205876,2022-02-18
PHP,6.593123151,0.151673187,2022-02-18
PLN,0.51313918,1.948789022,2022-02-18
PEN,0.475232345,2.104233876,2022-02-18
USD,0.128198418,7.800408265,2022-02-19
EUR,0.113221187,8.832269205,2022-02-19
GBP,0.094329617,10.60112434,2022-02-19
INR,9.574739148,0.104441488,2022-02-19
AUD,0.178590296,5.59940837,2022-02-19
CAD,0.163502886,6.11609999,2022-02-19
SGD,0.172540966,5.795725071,2022-02-19
CHF,0.118114105,8.466389342,2022-02-19
MXN,2.601798095,0.384349578,2022-02-19
PHP,6.597079982,0.151582216,2022-02-19
PLN,0.512585734,1.950893154,2022-02-19
PEN,0.477372092,2.094801971,2022-02-19
USD,0.128198491,7.800403809,2022-02-20
EUR,0.113180078,8.8354772,2022-02-20
GBP,0.09432079,10.60211644,2022-02-20
INR,9.574597361,0.104443034,2022-02-20
AUD,0.178556713,5.600461505,2022-02-20
CAD,0.16342243,6.119111071,2022-02-20
SGD,0.172537995,5.795824872,2022-02-20
CHF,0.118099534,8.467433895,2022-02-20
MXN,2.601964803,0.384324953,2022-02-20
